0 1 2
0 2 4
0 3 1
0 4 1
0 5 3
0 6 1
0 7 1
0 8 1
0 9 1
0 10 3
0 11 1
0 2 4
0 1 2
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 5
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 1
0 52 1
53 54 6
53 55 4
53 56 1
53 57 1
53 58 1
53 59 1
53 60 1
53 61 3
53 62 1
53 63 1
53 64 1
53 65 1
53 66 1
53 67 1
53 68 1
53 69 3
53 70 1
53 71 1
53 72 1
53 73 1
53 74 1
53 55 4
53 75 1
53 54 6
53 76 1
53 77 3
53 78 1
53 79 3
53 80 5
53 81 3
53 82 1
53 83 1
53 56 1
53 84 1
53 85 1
53 86 1
53 87 3
53 88 1
53 89 1
53 90 1
91 92 1
91 93 1
91 94 1
91 95 1
91 96 1
91 97 1
91 98 1
91 99 1
91 100 1
91 101 1
91 102 1
91 103 1
91 104 1
91 105 1
91 106 1
91 107 1
91 108 1
91 109 1
91 110 1
91 111 1
91 112 1
91 113 1
91 114 1
91 115 1
91 116 1
91 117 1
91 118 1
91 119 1
91 120 1
91 121 1
91 122 1
91 123 1
91 124 1
91 125 1
91 126 1
91 127 1
91 128 1
91 129 1
91 130 1
91 131 1
91 132 1
91 133 1
91 134 1
91 135 1
91 136 1
91 137 1
91 138 1
91 139 1
91 140 1
91 141 1
91 142 1
91 143 1
91 144 1
91 145 1
91 146 1
91 147 1
91 148 1
91 149 1
91 150 1
91 151 1
91 152 1
91 153 1
91 154 1
91 155 1
91 156 1
91 157 1
158 159 1
158 160 1
158 161 1
158 162 1
158 163 1
164 165 6
164 166 1
164 167 1
164 168 1
164 169 1
164 170 1
164 171 1
164 172 1
164 173 3
164 174 1
164 175 1
164 176 1
164 177 1
164 178 1
164 179 1
164 166 1
164 180 1
164 181 1
164 182 1
164 183 1
164 184 1
164 185 1
164 186 1
164 187 3
164 188 1
164 189 1
164 190 1
164 165 6
164 191 1
164 192 1
164 193 1
164 194 3
164 195 1
164 196 3
164 197 1
164 198 1
164 199 1
164 200 3
164 201 1
164 202 1
203 204 1
203 205 1
203 206 1
203 207 1
203 208 1
203 209 1
203 210 1
203 211 1
203 212 1
203 213 1
203 214 1
203 215 1
203 216 1
203 217 1
203 218 1
203 219 1
203 220 1
203 221 1
203 222 1
203 223 1
203 224 1
203 225 1
203 226 1
203 227 1
203 228 1
203 229 1
203 230 1
231 232 1
231 233 2
231 234 1
231 235 1
231 236 1
231 237 1
231 238 1
231 239 1
231 240 1
231 241 1
231 242 1
231 243 1
231 244 1
231 245 1
231 246 1
231 247 1
231 248 1
231 249 1
231 250 1
231 251 1
231 252 1
231 253 1
231 254 1
231 255 1
231 256 1
231 257 1
231 258 1
231 259 1
231 260 1
231 261 1
231 262 1
231 263 1
231 264 1
231 265 1
231 266 1
231 267 1
231 268 1
231 269 1
231 270 1
231 271 1
231 272 1
231 273 1
231 274 1
231 275 1
231 276 1
231 277 1
231 278 1
231 279 1
231 280 1
231 281 1
231 282 1
231 283 1
231 284 1
231 285 1
231 286 1
231 287 1
231 288 1
231 289 1
231 290 1
231 291 1
231 292 1
231 293 1
231 294 1
231 295 1
231 296 1
231 297 1
231 232 1
231 298 1
231 299 1
231 300 1
231 301 1
231 302 1
231 303 1
231 304 1
231 305 1
231 306 1
231 307 1
231 308 1
231 309 1
231 310 1
231 311 1
231 312 1
231 313 1
231 314 1
231 315 1
231 316 1
231 317 1
231 318 1
231 319 1
231 320 1
231 321 1
231 322 1
231 323 1
231 324 1
231 325 1
231 326 1
231 327 3
231 328 1
231 329 1
231 330 1
231 331 1
231 332 1
231 333 1
231 334 1
231 335 1
231 336 1
231 337 1
231 338 1
231 339 1
